"ZIP","Borough","Sani","ConsumProt","NoiseBiz","NoiseResid","WaterSyst","Traffic","NoiseTraf","UrbInf","HousCond","SocServ","IAO","NoiseConst","EnvProt","Violation","Misdemeanor","Felony","medianInc","jlBenef"
11420,"Queens",551,21,9,96,83,287,9,192,139,6,60,6,56,22,81,40,30934,570
11421,"Queens",203,8,18,111,44,387,6,103,96,3,32,2,44,9,60,18,29402,610
11422,"Queens",114,11,17,28,46,112,2,148,42,2,18,2,41,27,59,50,38027,410
11423,"Queens",119,5,6,53,48,150,7,76,98,4,40,3,25,12,43,31,32596,320
11426,"Queens",66,0,0,10,29,45,0,119,32,0,38,1,33,14,26,12,45254,180
11427,"Queens",81,4,5,35,35,65,2,95,66,3,26,1,35,12,11,6,40603,250
11428,"Queens",70,5,0,31,65,78,1,77,32,4,20,5,47,11,42,21,35606,240
11429,"Queens",113,4,0,20,75,113,1,109,25,5,19,5,38,24,69,38,33661,330
11430,"Queens",1,52,0,0,1,5,0,4,1,2,0,0,0,7,18,17,43750,0
11432,"Queens",239,21,57,84,77,134,112,216,240,18,46,9,51,15,64,31,27580,540
11433,"Queens",212,7,5,49,57,209,6,122,111,7,29,0,35,42,172,100,26359,440
11434,"Queens",229,15,5,61,79,290,9,244,90,16,59,1,52,71,252,165,34441,820
11435,"Queens",195,21,16,151,45,251,7,186,159,16,32,6,41,33,78,44,29996,640
11436,"Queens",91,5,0,31,42,128,7,85,44,1,28,1,21,4,16,14,31273,240
11691,"Queens",213,7,1,92,75,119,3,125,288,17,44,3,24,54,159,112,26100,590
11692,"Queens",93,5,1,39,15,10,2,72,67,1,10,3,9,16,40,31,27872,280
11693,"Queens",49,2,1,50,23,37,2,74,47,5,20,5,7,6,51,31,36364,230
11694,"Queens",62,3,6,34,33,34,4,132,76,0,37,6,19,12,19,13,52621,240
11695,"Queens",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
11697,"Queens",1,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,74554,40
99999,"99999",70,6,0,0,15,7,0,282,409,1125,912,2,4,2,13,6,NA,NA
