"ZIP","Borough","HousCond","Sani","NoiseResid","Traffic","NoiseConst","NoiseTraf","IAO","NoiseBiz","EnvProt","ConsumProt","UrbInf","SocServ","WaterSyst","Violation","Misdemeanor","Felony","medianInc","jlBenef"
11220,"Brooklyn",23,175,149,203,20,41,39,32,43,30,98,16,35,35,206,128,18290,970
11221,"Brooklyn",41,167,210,116,37,87,24,38,51,16,114,17,67,83,321,177,26957,1310
11222,"Brooklyn",17,108,77,89,50,23,35,33,21,22,71,24,21,15,63,43,50084,860
11223,"Brooklyn",23,112,96,247,10,14,42,21,104,17,117,10,93,41,146,82,27300,930
11224,"Brooklyn",11,25,63,35,6,7,15,3,6,18,42,6,28,58,209,120,24766,680
11225,"Brooklyn",23,51,196,83,19,55,17,26,22,12,69,23,63,26,64,55,32802,1010
11226,"Brooklyn",51,91,374,199,17,79,26,46,76,29,77,44,52,75,287,149,27379,1780
11228,"Brooklyn",14,40,18,118,6,3,23,1,33,2,76,3,74,27,87,60,34941,490
11229,"Brooklyn",28,110,96,221,7,16,48,14,74,15,138,11,98,46,162,82,35414,1010
11230,"Brooklyn",29,102,101,215,31,28,35,10,66,17,98,22,60,21,107,57,31887,900
11231,"Brooklyn",9,76,57,92,38,31,21,16,35,12,71,6,50,20,90,82,62167,620
11232,"Brooklyn",6,97,84,82,9,30,14,17,19,10,40,6,18,39,129,65,24643,330
11233,"Brooklyn",49,135,177,118,14,42,39,4,44,8,84,18,63,163,554,394,27666,1120
11234,"Brooklyn",33,143,66,320,4,13,59,55,96,38,178,14,106,96,334,229,42009,1270
11235,"Brooklyn",37,99,100,233,10,15,43,23,105,19,136,21,116,18,106,96,32382,1070
11236,"Brooklyn",17,145,69,264,5,9,30,2,84,22,136,8,95,57,208,92,32714,1610
11237,"Brooklyn",24,79,182,91,12,80,23,87,29,17,60,9,37,0,6,2,27123,740
11238,"Brooklyn",37,93,141,80,33,83,36,149,48,36,98,7,36,27,126,80,51366,1030
11239,"Brooklyn",0,1,11,5,0,0,1,0,0,3,5,3,0,9,68,15,33027,240
11241,"Brooklyn",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA
11242,"Brooklyn",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,NA
11249,"Brooklyn",24,49,84,56,34,28,14,63,15,15,34,3,11,22,138,77,NA,NA
11354,"Queens",21,84,51,81,6,5,68,3,41,33,115,8,36,26,53,34,20975,490
11355,"Queens",22,77,51,186,17,5,61,12,29,20,122,13,49,40,152,97,18136,690
11356,"Queens",10,45,28,87,2,11,27,4,17,5,53,3,26,8,31,18,27237,370
11357,"Queens",13,78,20,104,9,5,45,0,76,12,146,1,80,10,23,24,51465,520
11358,"Queens",20,101,30,123,7,3,30,6,55,7,97,1,53,10,30,15,34214,410
11359,"Queens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA
11360,"Queens",8,15,5,35,3,3,14,0,23,4,29,4,8,5,14,7,63036,220
11361,"Queens",12,57,24,68,10,3,30,3,48,4,74,2,49,9,44,30,43820,350
11362,"Queens",4,27,4,33,3,0,28,2,42,3,64,1,45,1,5,5,55512,190
11363,"Queens",0,11,15,13,0,1,8,0,16,1,35,1,26,0,0,1,60227,60
11364,"Queens",4,30,11,47,3,3,41,0,62,0,67,2,33,1,16,12,46006,400
11365,"Queens",11,38,24,93,4,1,32,7,55,9,91,3,27,18,57,36,36039,650
11366,"Queens",1,29,51,100,3,16,23,238,19,2,70,2,12,19,24,3,42100,140
11367,"Queens",5,42,53,46,4,12,32,1,22,6,85,8,41,6,26,12,34757,460
11368,"Queens",31,66,189,343,5,23,72,26,30,20,75,9,35,34,160,103,21225,1080
11369,"Queens",12,35,50,117,9,10,14,0,20,40,33,2,25,10,38,23,24640,540
11370,"Queens",3,13,21,84,1,2,10,1,19,3,50,3,9,7,56,57,29341,360
11371,"Queens",1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,4,NA,NA
11372,"Queens",15,42,83,83,6,34,35,64,39,34,85,14,33,30,138,68,28488,960
11373,"Queens",26,71,163,191,9,16,42,5,29,20,89,18,55,32,309,145,22596,1020
11374,"Queens",14,29,60,110,9,7,39,8,27,14,77,13,79,16,68,24,42354,640
11375,"Queens",18,66,91,118,18,20,57,9,64,18,155,15,48,16,87,35,61571,970
11377,"Queens",19,85,115,310,18,28,50,25,61,27,152,7,54,40,170,97,27445,1180
11378,"Queens",12,56,34,248,7,9,43,4,38,10,123,5,36,9,70,18,37153,630
11379,"Queens",11,41,31,147,8,4,24,1,78,6,100,2,70,19,101,42,47788,580
11385,"Queens",36,144,117,363,24,21,65,56,121,18,287,17,109,40,171,115,32625,1780
11411,"Queens",5,39,11,47,0,10,18,1,34,2,37,4,33,12,27,28,39188,300
11412,"Queens",15,71,46,73,2,3,30,1,49,4,55,12,77,8,19,30,33895,550
11413,"Queens",20,65,18,70,0,4,43,1,62,4,81,10,65,4,22,16,36760,580
11414,"Queens",10,45,22,61,2,3,40,1,71,6,59,7,32,14,67,64,50457,490
11415,"Queens",7,15,86,58,4,1,8,18,16,4,42,7,18,3,20,11,46802,310
11416,"Queens",7,38,46,104,0,9,21,9,10,8,25,4,19,23,99,53,24616,460
11417,"Queens",13,53,25,120,2,16,36,8,19,7,42,5,47,5,14,4,31233,520
11418,"Queens",23,89,69,181,9,15,26,16,45,17,58,6,41,24,105,54,27943,520
11419,"Queens",29,51,129,184,4,16,49,11,34,18,59,5,52,27,85,83,24349,540
11420,"Queens",33,57,103,168,8,27,36,10,57,20,88,4,36,16,59,64,30275,630
11421,"Queens",20,45,52,206,5,13,22,46,34,8,39,3,34,9,33,20,28407,750
11422,"Queens",8,70,16,64,0,4,21,2,43,2,53,7,44,27,59,58,37156,500
11423,"Queens",12,54,71,65,3,7,16,11,28,9,33,6,54,8,45,21,32482,380
11426,"Queens",9,15,7,34,0,3,21,8,48,3,68,0,41,5,26,20,43650,190
11427,"Queens",7,26,31,35,4,3,25,1,45,6,78,6,38,6,23,8,40273,270
11428,"Queens",4,28,23,68,1,5,22,2,22,4,37,3,33,18,33,27,35385,250
11429,"Queens",3,32,42,62,2,3,24,3,24,5,26,4,36,18,57,46,33009,350
11430,"Queens",0,1,0,2,0,0,0,0,0,44,4,1,7,3,26,14,43750,0
11432,"Queens",20,89,85,130,6,10,40,29,53,29,107,8,86,18,64,50,26630,620
11433,"Queens",11,89,46,131,1,3,23,14,36,10,61,7,117,70,282,131,25506,480
11434,"Queens",19,95,31,120,1,18,49,8,72,18,120,23,94,55,288,208,33425,940
11435,"Queens",20,54,83,159,4,10,31,11,30,17,100,14,82,29,139,78,29052,700
11436,"Queens",4,29,121,52,2,9,12,2,23,5,24,3,33,2,13,12,30545,270
11691,"Queens",14,63,88,52,5,9,31,1,33,9,52,13,67,35,145,116,24889,660
11692,"Queens",4,10,12,6,0,0,23,0,6,2,11,2,33,16,59,36,27129,320
11693,"Queens",6,13,9,10,7,4,22,1,21,3,13,0,16,9,23,31,34646,200
11694,"Queens",6,13,31,21,4,29,37,3,42,1,47,5,22,6,41,29,50625,260
11697,"Queens",0,0,1,3,0,0,9,0,1,1,1,0,1,0,3,4,75000,40
99999,"99999",0,25,2,16,7,2,725,3,4,23,481,1910,29,11,473,193,NA,NA
