"MISDEMEANOR","FELONY","VIOLATION"
"FALSE REPORT BOMB","CONTROLLED SUBSTANCE,POSSESS.","NA"
"RECKLESS DRIVING","NY STATE LAWS,UNCLASSIFIED FEL","NA"
"RIOT 2/INCITING","LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)","NA"
"RECORDS,FALSIFY-TAMPER","ASSAULT OTHER PUBLIC SERVICE EMPLOYEE","NA"
"OBSCENITY, PERFORMANCE 3","LARCENY,GRAND FROM PERSON,PICK","NA"
"STOLEN PROP-MOTOR VEHICLE 3RD,","ROBBERY,BODEGA/CONVENIENCE STORE","NA"
"AGRICULTURE & MARKETS LAW,UNCL","ROBBERY,DELIVERY PERSON","NA"
"POSSESSION HYPODERMIC INSTRUME","SODOMY 3","NA"
"TAX LAW","LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK","NA"
"TORTURE/INJURE ANIMAL CRUELTY","UNAUTHORIZED USE VEHICLE 2","NA"
"COERCION 2","RAPE 3","NA"
"NUISANCE,CRIMINAL,UNCLASSIFIED","LARCENY,GRAND BY OPEN BANK ACCT","NA"
"PUBLIC SAFETY,UNCLASSIFIED MIS","LARCENY,GRAND FROM PERSON,PURS","NA"
"LARCENY,PETIT OF AUTO","LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES","NA"
"CHILD,ALCOHOL SALE TO","ROBBERY,POCKETBOOK/CARRIED BAG","NA"
"PUBLIC HEALTH LAW,UNCLASSIFIED","CRIMINAL DISPOSAL FIREARM 1 &","NA"
"THEFT,RELATED OFFENSES,UNCLASS","RAPE 1,ATTEMPT","NA"
"FALSE ALARM FIRE","CONTROLLED SUBSTANCE, POSSESSI","NA"
"LARCENY,PETIT FROM COIN MACHIN","ASSAULT POLICE/PEACE OFFICER","NA"
"PROSTITUTION","MENACING 1ST DEGREE (VICT PEAC","NA"
"MATERIAL              OFFENSIV","STOLEN PROPERTY 2,1,POSSESSION","NA"
"NA","BURGLARY,TRUCK DAY","NA"
"NA","LARCENY,GRAND PERSON,NECK CHAI","NA"
"NA","LARCENY,GRAND OF BICYCLE","NA"
"NA","MAKING TERRORISTIC THREAT","NA"
"NA","ROBBERY,BAR/RESTAURANT","NA"
"NA","RAPE 1","NA"
"NA","FORGERY,DRIVERS LICENSE","NA"
"NA","BURGLARY,UNCLASSIFIED,UNKNOWN","NA"
"NA","LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER","NA"
"NA","IMPERSONATION 1, POLICE OFFICE","NA"
"NA","ROBBERY,PUBLIC PLACE INSIDE","NA"
"NA","ROBBERY,LICENSED FOR HIRE VEHICLE","NA"
"NA","STOLEN PROPERTY-MOTOR VEH 2ND,","NA"
"NA","BURGLARY,UNCLASSIFIED,DAY","NA"
"NA","BURGLARY,UNCLASSIFIED,NIGHT","NA"
"NA","LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE","NA"
"NA","LARCENY,GRAND FROM TRUCK, UNATTENDED","NA"
"NA","CONTROLLED SUBSTANCE, INTENT T","NA"
"NA","CONTROLLED SUBSTANCE, SALE 5","NA"
"NA","PROMOTING A SEXUAL PERFORMANCE","NA"
"NA","BURGLARY,COMMERCIAL,UNKNOWN TI","NA"
"NA","LARCENY,GRAND FROM PIER, UNATTENDED","NA"
"NA","LARCENY,GRAND OF TRUCK","NA"
"NA","ROBBERY, CHAIN STORE","NA"
"NA","ROBBERY,BANK","NA"
"NA","ROBBERY,ATM LOCATION","NA"
"NA","ROBBERY,BICYCLE","NA"
"NA","ROBBERY,CAR JACKING","NA"
"NA","CONTROLLED SUBSTANCE,SALE 1","NA"
"NA","ROBBERY,LICENSED MEDALLION CAB","NA"
"NA","CUSTODIAL INTERFERENCE 1","NA"
"NA","MARIJUANA, SALE 1, 2 & 3","NA"
"NA","PLACE FALSE BOMB","NA"
"NA","ROBBERY,UNLICENSED FOR HIRE VEHICLE","NA"
"NA","OBSCENE MATERIAL - UNDER 17 YE","NA"
"NA","SUPP. ACT TERR 2ND","NA"
"NA","FORGERY-ILLEGAL POSSESSION,VEH","NA"
"NA","CONTROLLED SUBSTANCE,SALE 2","NA"
"NA","MENACING 1ST DEGREE (VICT NOT","NA"
"NA","COMPUTER TAMPER/TRESSPASS","NA"
"NA","COERCION 1","NA"
"NA","SALE SCHOOL GROUNDS 4","NA"
"NA","FORGERY,PRESCRIPTION","NA"
"NA","CONTROLLED SUBSTANCE,SALE 3","NA"
"NA","BAIL JUMPING 1 & 2","NA"
"NA","ASSAULT SCHOOL SAFETY AGENT","NA"
"NA","LARCENY, GRAND OF MOPED","NA"
"NA","TAX LAW","NA"
"NA","SALE SCHOOL GROUNDS","NA"
"NA","LARCENY, GRAND OF AUTO - ATTEM","NA"
"NA","THEFT,RELATED OFFENSES,UNCLASS","NA"
"NA","LURING A CHILD","NA"
"NA","PUBLIC ADMINISTRATION,UNCLASSI","NA"
"NA","IMPRISONMENT 1,UNLAWFUL","NA"
"NA","CONTROLLED SUBSTANCE, SALE 4","NA"
"NA","ESCAPE 2,1","NA"
"NA","PROSTITUTION 3,PROMOTING BUSIN","NA"
"NA","MISCHIEF, CRIMINAL 3&2, BY FIR","NA"
"NA","INTOXICATED DRIVING,ALCOHOL","NA"
"NA","KIDNAPPING 2","NA"
"NA","FALSE REPORT 1,FIRE","NA"
"NA","AGGRAVATED SEXUAL ASBUSE","NA"
"NA","CHILD ABANDONMENT","NA"
"NA","ABORTION 1","NA"
"NA","USE OF A CHILD IN A SEXUAL PER","NA"
"NA","GAMBLING 1,PROMOTING,BOOKMAKIN","NA"
"NA","CAUSE SPI/KILL ANIMAL","NA"
"NA","ASSAULT TRAFFIC AGENT","NA"
"NA","TERRORISM PROVIDE SUPPORT","NA"
"NA","CONTROLLED SUBSTANCE,POSSESS.-","NA"
"NA","ROBBERY,PHARMACY","NA"
"NA","DRUG PARAPHERNALIA,   POSSESSE","NA"
"NA","VEHICULAR ASSAULT (INTOX DRIVE","NA"
